r105

VEHICLE
NUMBER		 CAPACITY
	25				 200

CUSTOMER
CUST NO.     XCOORD.    YCOORD.      DEMAND    READY TIME  DUE DATE  SERVICE TIME  AVAIL. TIME

	  0				   35				   35				    0				    0				  230				    0				    0
	  1				   41				   49				   10				  151				  181				   10				   40
	  2				   35				   17				    7				   40				   70				   10				    7
	  3				   55				   45				   13				  106				  136				   10				    0
	  4				   55				   20				   19				  139				  169				   10				    0
	  5				   15				   30				   26				   24				   54				   10				    5
	  6				   25				   30				    3				   89				  119				   10				    0
	  7				   20				   50				    5				   71				  101				   10				    0
	  8				   10				   43				    9				   85				  115				   10				   62
	  9				   55				   60				   16				   87				  117				   10				    7
	 10				   30				   60				   16				  114				  144				   10				    0
	 11				   20				   65				   12				   57				   87				   10				   49
	 12				   50				   35				   19				   53				   83				   10				    0
	 13				   30				   25				   23				  149				  179				   10				    0
	 14				   15				   10				   20				   32				   62				   10				    0
	 15				   30				    5				    8				   51				   81				   10				   16
	 16				   10				   20				   19				   65				   95				   10				   20
	 17				    5				   30				    2				  147				  177				   10				    0
	 18				   20				   40				   12				   77				  107				   10				   28
	 19				   15				   60				   17				   66				   96				   10				   43
	 20				   45				   65				    9				  116				  146				   10				   53
	 21				   45				   20				   11				   52				   82				   10				   14
	 22				   45				   10				   18				   87				  117				   10				   74
	 23				   55				    5				   29				   58				   88				   10				   35
	 24				   65				   35				    3				  143				  173				   10				    0
	 25				   65				   20				    6				  156				  186				   10				    0
	 26				   45				   30				   17				  122				  152				   10				   95
	 27				   35				   40				   16				   27				   57				   10				    0
	 28				   41				   37				   16				   29				   59				   10				   11
	 29				   64				   42				    9				   53				   83				   10				   30
	 30				   40				   60				   21				   61				   91				   10				    9
	 31				   31				   52				   27				   40				   70				   10				   16
	 32				   35				   69				   23				  131				  161				   10				    0
	 33				   53				   52				   11				   27				   57				   10				    0
	 34				   65				   55				   14				  107				  137				   10				   29
	 35				   63				   65				    8				  133				  163				   10				    6
	 36				    2				   60				    5				   41				   71				   10				    0
	 37				   20				   20				    8				  124				  154				   10				  100
	 38				    5				    5				   16				   73				  103				   10				   43
	 39				   60				   12				   31				   34				   64				   10				   11
	 40				   40				   25				    9				   75				  105				   10				    0
	 41				   42				    7				    5				   87				  117				   10				    0
	 42				   24				   12				    5				   25				   55				   10				    0
	 43				   23				    3				    7				  122				  152				   10				   51
	 44				   11				   14				   18				   59				   89				   10				   46
	 45				    6				   38				   16				   29				   59				   10				    0
	 46				    2				   48				    1				  107				  137				   10				   46
	 47				    8				   56				   27				   41				   71				   10				    0
	 48				   13				   52				   36				  155				  185				   10				    0
	 49				    6				   68				   30				   98				  128				   10				   42
	 50				   47				   47				   13				  114				  144				   10				   56
	 51				   49				   58				   10				   78				  108				   10				    0
	 52				   27				   43				    9				   42				   72				   10				   16
	 53				   37				   31				   14				   85				  115				   10				   45
	 54				   57				   29				   18				  130				  160				   10				    0
	 55				   63				   23				    2				  126				  156				   10				    0
	 56				   53				   12				    6				  120				  150				   10				    0
	 57				   32				   12				    7				   91				  121				   10				   37
	 58				   36				   26				   18				  180				  210				   10				   25
	 59				   21				   24				   28				   17				   47				   10				    0
	 60				   17				   34				    3				  152				  182				   10				   93
	 61				   12				   24				   13				   66				   96				   10				   49
	 62				   24				   58				   19				   48				   78				   10				   18
	 63				   27				   69				   10				   34				   64				   10				    0
	 64				   15				   77				    9				   63				   93				   10				   30
	 65				   62				   77				   20				   49				   79				   10				   20
	 66				   49				   73				   25				  117				  147				   10				   29
	 67				   67				    5				   25				   73				  103				   10				   31
	 68				   56				   39				   36				  132				  162				   10				    0
	 69				   37				   47				    6				   40				   70				   10				    5
	 70				   37				   56				    5				  168				  198				   10				   32
	 71				   57				   68				   15				   67				   97				   10				    2
	 72				   47				   16				   25				   25				   55				   10				    0
	 73				   44				   17				    9				   68				   98				   10				    6
	 74				   46				   13				    8				  139				  169				   10				    0
	 75				   49				   11				   18				   59				   89				   10				   18
	 76				   49				   42				   13				   63				   93				   10				   41
	 77				   53				   43				   14				  169				  199				   10				    0
	 78				   61				   52				    3				   86				  116				   10				    5
	 79				   57				   48				   23				   82				  112				   10				    0
	 80				   56				   37				    6				  168				  198				   10				    0
	 81				   55				   54				   26				   84				  114				   10				   16
	 82				   15				   47				   16				   45				   75				   10				    1
	 83				   14				   37				   11				   34				   64				   10				    0
	 84				   11				   31				    7				   91				  121				   10				    0
	 85				   16				   22				   41				   81				  111				   10				   15
	 86				    4				   18				   35				   84				  114				   10				    0
	 87				   28				   18				   26				   83				  113				   10				    0
	 88				   26				   52				    9				   64				   94				   10				   17
	 89				   26				   35				   15				  166				  196				   10				    0
	 90				   31				   67				    3				   85				  115				   10				   27
	 91				   15				   19				    1				  150				  180				   10				   21
	 92				   22				   22				    2				   18				   48				   10				    8
	 93				   18				   24				   22				  169				  199				   10				  148
	 94				   26				   27				   27				   90				  120				   10				   24
	 95				   25				   24				   20				   29				   59				   10				    0
	 96				   22				   27				   11				  125				  155				   10				    5
	 97				   25				   21				   12				  123				  153				   10				   15
	 98				   19				   21				   10				   48				   78				   10				    0
	 99				   20				   26				    9				   73				  103				   10				    0
	100				   18				   18				   17				  165				  195				   10				    0
